description,category
Support contract renewal income,Service Revenue
Managed services monthly invoice paid,Service Revenue
Hosting and maintenance service income,Service Revenue
IT support service contract payment,Service Revenue
Customer success service fee received,Service Revenue
Service level agreement payment received,Service Revenue
Annual service plan renewal income,Service Revenue
Cleaning service contract income,Service Revenue
Accounting service fee from client,Service Revenue
Payroll service fee received,Service Revenue
Printing and design service income,Service Revenue
Repair and maintenance service income,Service Revenue
Training service fee from corporate,Service Revenue
Photography service booking payment,Service Revenue
Event management service revenue,Service Revenue
Logistics service contract income,Service Revenue
Website development service payment,Service Revenue
Security guard service monthly fee,Service Revenue
Facility management service revenue,Service Revenue
AMC fee received for HVAC service,Service Revenue
Data backup service monthly fee,Service Revenue
Network monitoring service income,Service Revenue
Pest control service contract income,Service Revenue
Driver service monthly fee from client,Service Revenue
Catering service contract payment,Service Revenue
Landscaping service contract income,Service Revenue
Elevator maintenance service fee,Service Revenue
Plumbing service annual contract income,Service Revenue
Swimming pool maintenance service income,Service Revenue
Courier service daily contract income,Service Revenue
Document scanning service fee received,Service Revenue
Translation service contract income,Service Revenue
Social media management service fee,Service Revenue
Graphic design service retainer income,Service Revenue
Content writing service fee received,Service Revenue
Office space rent received from tenant,Rental Income
Monthly rent from commercial property,Rental Income
Warehouse rental income received,Rental Income
Rental income from shop premises,Rental Income
Co-working space sublease income,Rental Income
Equipment rental fee received,Rental Income
Vehicle hire income for the month,Rental Income
Land lease rental payment received,Rental Income
Rooftop lease income from telecom company,Rental Income
Storage unit rental income,Rental Income
Machinery rental contract income,Rental Income
Office premises rental received from subtenant,Rental Income
Studio space rental fee received,Rental Income
Furniture rental contract income,Rental Income
Camera equipment hire income,Rental Income
Parking space rental income,Rental Income
Billboard hoarding lease income,Rental Income
Cold storage rental income received,Rental Income
Factory shed rental income,Rental Income
Residential property rental income,Rental Income
Godown rent received monthly,Rental Income
Showroom space lease income,Rental Income
Lab space rental fee received,Rental Income
Server rack co-location rental income,Rental Income
Tower crane rental income,Rental Income
Construction equipment lease income,Rental Income
Car parking slot monthly rental,Rental Income
Office floor sublease income,Rental Income
Basement storage rental income,Rental Income
Medical clinic space rental income,Rental Income
Restaurant space lease income received,Rental Income
Retail outlet sublease income,Rental Income
Terrace lease income,Rental Income
Farm land lease rental received,Rental Income
Event hall rental income,Rental Income
Community hall rental fee received,Rental Income
Generator set hire income,Rental Income
Scaffolding rental income,Rental Income
Interest earned on fixed deposit,Interest Income
Bank savings account interest credited,Interest Income
FD maturity interest received,Interest Income
PPF interest credited for the quarter,Interest Income
Bond interest payment received,Interest Income
Loan interest income from borrower,Interest Income
NCD interest received,Interest Income
Recurring deposit interest income,Interest Income
Debenture interest credited,Interest Income
Treasury bond coupon payment,Interest Income
Monthly interest on business loan given,Interest Income
Savings bank account interest quarterly,Interest Income
NBFC debenture interest received,Interest Income
Post office savings interest credited,Interest Income
Corporate bond interest payment,Interest Income
Sukanya Samriddhi interest income,Interest Income
Senior citizen savings scheme interest,Interest Income
Fixed deposit renewal interest earned,Interest Income
Kisan Vikas Patra interest income,Interest Income
Monthly income scheme interest received,Interest Income
NSC interest accrued and received,Interest Income
Interest on advance given to supplier,Interest Income
Inter-company loan interest income,Interest Income
ESOP loan interest received,Interest Income
Promissory note interest income,Interest Income
Mutual fund debt income received,Dividend Income
Dividend received from equity shares,Dividend Income
Interim dividend credited from portfolio,Dividend Income
Stock dividend from listed company,Dividend Income
Annual dividend payment from investment,Dividend Income
Dividend received from mutual fund,Dividend Income
Bonus share dividend income,Dividend Income
Preference share dividend received,Dividend Income
Dividend from REITs,Dividend Income
Dividend payout from equity MF,Dividend Income
Special dividend from portfolio stock,Dividend Income
Dividend from infrastructure investment trust,Dividend Income
Dividend income from ETF holdings,Dividend Income
Quarterly dividend from bluechip shares,Dividend Income
Final dividend from listed company,Dividend Income
Dividend received from subsidiary company,Dividend Income
Associate company dividend income,Dividend Income
Dividend from overseas investment,Dividend Income
Dividend reinvestment plan payout,Dividend Income
Stock appreciation right dividend,Dividend Income
Dividend from ELSS mutual fund,Dividend Income
Dividend received from balanced fund,Dividend Income
Dividend on arbitrage mutual fund,Dividend Income
Dividend declared by associate firm,Dividend Income
Dividend from venture capital fund,Dividend Income
Freelance web development project payment,Freelance Income
Freelance graphic design work completed,Freelance Income
Upwork project milestone payment received,Freelance Income
Freelancer.com payout for completed work,Freelance Income
Content writing freelance income,Freelance Income
Freelance video editing payment,Freelance Income
Fiverr payout received,Freelance Income
Freelance data analysis project fee,Freelance Income
Freelance mobile app development income,Freelance Income
Toptal freelance project payment,Freelance Income
YouTube content creation income,Freelance Income
Freelance SEO project payment received,Freelance Income
Freelance UI/UX design invoice paid,Freelance Income
Voice over freelance work income,Freelance Income
Freelance translation project payment,Freelance Income
Freelance copywriting gig income,Freelance Income
Freelance illustration work payment,Freelance Income
Freelance social media management payment,Freelance Income
Freelance photography gig income,Freelance Income
Freelance video production payment,Freelance Income
Freelance testing and QA gig income,Freelance Income
Freelance blockchain development payment,Freelance Income
Freelance ML model building income,Freelance Income
Freelance chatbot development payment,Freelance Income
Freelance email marketing project income,Freelance Income
Freelance resume writing service payment,Freelance Income
Freelance podcast editing gig income,Freelance Income
Freelance animation project payment,Freelance Income
Freelance music composition income,Freelance Income
Freelance tutoring income received,Freelance Income
Freelance logo design project payment,Freelance Income
Freelance research project fee,Freelance Income
Freelance Python scripting income,Freelance Income
Freelance Excel dashboard project income,Freelance Income
Freelance PowerPoint design gig payment,Freelance Income
Freelance backend API development income,Freelance Income
Freelance Shopify store setup payment,Freelance Income
Sales commission on deal closure,Commission Income
Affiliate marketing commission payment,Commission Income
Insurance agent commission received,Commission Income
Real estate brokerage commission income,Commission Income
Referral bonus received from partner program,Commission Income
Channel partner commission payout,Commission Income
Broker commission for trade executed,Commission Income
Dealer commission income received,Commission Income
Recruitment commission payment,Commission Income
Performance commission from sales target,Commission Income
Commission on software licence sale,Commission Income
Distributor commission payment received,Commission Income
Export commission income from trade,Commission Income
Franchise commission income,Commission Income
Travel agent booking commission,Commission Income
Commission on government tender won,Commission Income
Commission from bank for insurance sold,Commission Income
Commission on medical device sale,Commission Income
Commission income from mutual fund distribution,Commission Income
Commission from stockbroking activity,Commission Income
Property sale brokerage commission,Commission Income
Commission on leasing deal closed,Commission Income
Franchise royalty commission received,Commission Income
Subagent commission income,Commission Income
Commission from lending product referral,Commission Income
Quarterly office rent payment,Office Rent
Monthly coworking space membership fee,Office Rent
Office premises lease payment,Office Rent
Shared office space monthly fee,Office Rent
Annual rent for commercial space,Office Rent
Security deposit paid for new office,Office Rent
Office building maintenance charge,Office Rent
Monthly workspace rental expense,Office Rent
Registered office address fee paid,Office Rent
Virtual office plan subscription,Office Rent
Coworking hot desk monthly fee,Office Rent
Office park monthly rental charge,Office Rent
Lease premium paid for office expansion,Office Rent
Rent paid for branch office premises,Office Rent
Office space booking advance payment,Office Rent
Business centre monthly membership,Office Rent
Flexible desk space fee paid,Office Rent
Office floor lease renewal payment,Office Rent
Conference room monthly rental,Office Rent
Head office rent payment Q1,Office Rent
Rented serviced office monthly fee,Office Rent
Cabin rental in shared office,Office Rent
Dedicated desk fee at incubator,Office Rent
Registered address virtual office fee,Office Rent
Office address and mail handling fee,Office Rent
Microsoft 365 subscription renewal,Software Subscriptions
Slack monthly team subscription,Software Subscriptions
GitHub Enterprise plan renewal,Software Subscriptions
Zoom video conferencing subscription,Software Subscriptions
Adobe Creative Cloud annual plan,Software Subscriptions
Figma professional subscription paid,Software Subscriptions
Salesforce CRM monthly billing,Software Subscriptions
Jira software subscription renewal,Software Subscriptions
HubSpot marketing subscription,Software Subscriptions
QuickBooks accounting software subscription,Software Subscriptions
AWS cloud services monthly bill,Software Subscriptions
Google Workspace subscription paid,Software Subscriptions
Notion team plan subscription,Software Subscriptions
Canva pro subscription paid,Software Subscriptions
Postman API tool subscription,Software Subscriptions
DataGrip IDE subscription payment,Software Subscriptions
Tally Prime license renewal,Software Subscriptions
Zoho CRM subscription payment,Software Subscriptions
Webflow hosting subscription,Software Subscriptions
Stripe payment gateway monthly fee,Software Subscriptions
Asana project management subscription,Software Subscriptions
Monday.com team plan billing,Software Subscriptions
Trello business plan subscription,Software Subscriptions
Dropbox business subscription,Software Subscriptions
IntelliJ IDEA license renewal,Software Subscriptions
Tableau desktop subscription,Software Subscriptions
Power BI premium subscription,Software Subscriptions
Freshdesk support tool monthly bill,Software Subscriptions
Zendesk CRM subscription renewal,Software Subscriptions
Twilio API monthly subscription,Software Subscriptions
SendGrid email platform subscription,Software Subscriptions
Mailchimp marketing subscription,Software Subscriptions
Razorpay monthly platform fee,Software Subscriptions
Cloudflare pro plan subscription,Software Subscriptions
Heroku dynos subscription billing,Software Subscriptions
Digital Ocean droplet subscription,Software Subscriptions
Netlify pro hosting subscription,Software Subscriptions
Vercel pro deployment subscription,Software Subscriptions
Grammarly business subscription,Software Subscriptions
Loom video messaging subscription,Software Subscriptions
Netflix subscription payment,OTT Subscriptions
Amazon Prime membership fee,OTT Subscriptions
Disney+ Hotstar annual subscription,OTT Subscriptions
Sony LIV subscription payment,OTT Subscriptions
ZEE5 premium subscription,OTT Subscriptions
Spotify premium family plan,OTT Subscriptions
Apple TV+ monthly subscription,OTT Subscriptions
YouTube Premium subscription,OTT Subscriptions
Voot select subscription payment,OTT Subscriptions
MX Player pro subscription,OTT Subscriptions
Jio Cinema premium subscription,OTT Subscriptions
ALT Balaji subscription fee,OTT Subscriptions
SunNXT subscription payment,OTT Subscriptions
Audible audiobook subscription,OTT Subscriptions
Kindle Unlimited monthly plan,OTT Subscriptions
Apple Music subscription payment,OTT Subscriptions
Gaana premium subscription paid,OTT Subscriptions
JioSaavn pro subscription,OTT Subscriptions
Hungama music subscription,OTT Subscriptions
Mubi film streaming subscription,OTT Subscriptions
HBO Max monthly subscription,OTT Subscriptions
Paramount Plus subscription fee,OTT Subscriptions
Discovery Plus subscription payment,OTT Subscriptions
Curiosity Stream subscription,OTT Subscriptions
Crunchyroll anime subscription,OTT Subscriptions
Peacock streaming subscription fee,OTT Subscriptions
Tubi premium subscription payment,OTT Subscriptions
Aha OTT subscription payment,OTT Subscriptions
Lionsgate Play subscription,OTT Subscriptions
ShemarooMe subscription payment,OTT Subscriptions
Monthly salary payout to employees,Salaries & Wages
Staff payroll disbursement,Salaries & Wages
Freelancer wages paid for project,Salaries & Wages
Contractor payment for development work,Salaries & Wages
Bonus payout to sales team,Salaries & Wages
Gratuity payment to resigned employee,Salaries & Wages
PF employer contribution paid,Salaries & Wages
ESIC contribution paid for staff,Salaries & Wages
Temporary worker wages paid,Salaries & Wages
Annual appraisal increment payout,Salaries & Wages
Intern stipend payment,Salaries & Wages
Overtime wages paid to factory staff,Salaries & Wages
Part-time staff wages for the week,Salaries & Wages
HRA and allowances paid to employees,Salaries & Wages
Leave encashment paid to staff,Salaries & Wages
Performance incentive paid this month,Salaries & Wages
Sales incentive bonus disbursement,Salaries & Wages
Medical allowance paid to employees,Salaries & Wages
LTA leave travel allowance paid,Salaries & Wages
Employee monthly CTC disbursement,Salaries & Wages
Notice period pay to resigned staff,Salaries & Wages
Severance pay to retrenched employee,Salaries & Wages
Festival bonus paid to all staff,Salaries & Wages
Special incentive for project completion,Salaries & Wages
Retainer fee paid to part-time expert,Salaries & Wages
Driver salary paid monthly,Salaries & Wages
Peon and office boy wages,Salaries & Wages
Security guard monthly wages paid,Salaries & Wages
Housekeeping staff wages paid,Salaries & Wages
Probationary employee salary disbursed,Salaries & Wages
Contract worker daily wages paid,Salaries & Wages
NEFT salary transfer to employees,Salaries & Wages
Arrear salary paid to staff,Salaries & Wages
Shift allowance paid to night staff,Salaries & Wages
Final settlement paid to resigned employee,Salaries & Wages
Facebook ads campaign payment,Marketing & Advertising
Google Ads monthly billing,Marketing & Advertising
Instagram sponsored post cost,Marketing & Advertising
LinkedIn campaign manager charge,Marketing & Advertising
Newspaper advertisement insertion fee,Marketing & Advertising
Outdoor hoarding advertisement cost,Marketing & Advertising
SEO agency monthly retainer,Marketing & Advertising
Content marketing agency payment,Marketing & Advertising
Email marketing platform billing,Marketing & Advertising
Influencer marketing campaign payment,Marketing & Advertising
Brand design agency invoice,Marketing & Advertising
Trade show booth booking fee,Marketing & Advertising
SMS marketing campaign cost,Marketing & Advertising
YouTube video ad spend,Marketing & Advertising
Promotional brochure printing cost,Marketing & Advertising
TV commercial production cost,Marketing & Advertising
Radio advertisement booking fee,Marketing & Advertising
Podcast sponsorship advertising fee,Marketing & Advertising
Digital PR agency monthly fee,Marketing & Advertising
Programmatic advertising spend,Marketing & Advertising
Display banner ad spend online,Marketing & Advertising
Google Shopping ads monthly charge,Marketing & Advertising
Meta advertising account monthly charge,Marketing & Advertising
Twitter promoted tweets spend,Marketing & Advertising
Pinterest promoted pins campaign,Marketing & Advertising
Quora advertising spend,Marketing & Advertising
Website SEO audit and optimization fee,Marketing & Advertising
Press release distribution fee,Marketing & Advertising
Product launch event marketing expense,Marketing & Advertising
Cinema advertising cost,Marketing & Advertising
Logo merchandise for branding,Marketing & Advertising
Corporate video production for ads,Marketing & Advertising
Explainer video creation cost,Marketing & Advertising
Google My Business promotion fee,Marketing & Advertising
WhatsApp business marketing campaign,Marketing & Advertising
Monthly electricity bill payment,Utilities
Water charges paid,Utilities
Internet broadband monthly bill,Utilities
Mobile phone bill for office,Utilities
Gas utility bill payment,Utilities
Diesel generator fuel cost,Utilities
Air conditioning servicing charge,Utilities
Electricity deposit paid,Utilities
ISP bandwidth upgrade cost,Utilities
Office phone landline bill,Utilities
Solar panel maintenance cost,Utilities
Municipal water connection charges,Utilities
Prepaid electricity token purchase,Utilities
Electricity meter reading and billing,Utilities
Commercial electricity quarterly bill,Utilities
Power backup battery charging cost,Utilities
Internet leased line monthly charges,Utilities
3G data card bill for office,Utilities
Telephone trunk call charges,Utilities
Industrial gas connection charges,Utilities
High tension electricity supply charge,Utilities
Electricity transformer maintenance,Utilities
Water tanker supply charges,Utilities
Borewell electricity pump charges,Utilities
UPS power backup electricity cost,Utilities
Auto travel to client meeting,Travel & Transportation
Flight ticket for business trip,Travel & Transportation
Train fare for sales visit,Travel & Transportation
Uber ride to office expense,Travel & Transportation
Ola cab business travel,Travel & Transportation
Hotel accommodation for conference,Travel & Transportation
Petrol expense for delivery,Travel & Transportation
Vehicle maintenance and servicing,Travel & Transportation
Toll charges for delivery vehicle,Travel & Transportation
Rapido bike taxi for field visit,Travel & Transportation
Parking charges at client site,Travel & Transportation
Bus pass for employee commute,Travel & Transportation
Car rental for client site visit,Travel & Transportation
Flight booking for overseas client,Travel & Transportation
Metro pass for office commute,Travel & Transportation
Airport cab for executive travel,Travel & Transportation
IndiGo flight for marketing event,Travel & Transportation
Air India business class booking,Travel & Transportation
Irctc train ticket booking charge,Travel & Transportation
Ola electric cab for office travel,Travel & Transportation
Rapido auto rickshaw for delivery,Travel & Transportation
Car fuel reimbursement for field staff,Travel & Transportation
Diesel purchase for company vehicle,Travel & Transportation
Vehicle insurance renewal expense,Travel & Transportation
Driver allowance for business travel,Travel & Transportation
Bus ticket for intercity travel,Travel & Transportation
Rickshaw daily commute charges,Travel & Transportation
Fastag toll auto recharge,Travel & Transportation
Parking lot monthly pass,Travel & Transportation
Staff pick and drop cab contract,Travel & Transportation
Fleet vehicle tyre replacement,Travel & Transportation
Car service and oil change,Travel & Transportation
Business lunch with client,Meals & Entertainment
Team dinner at restaurant,Meals & Entertainment
Client entertainment expense,Meals & Entertainment
Office party catering cost,Meals & Entertainment
Coffee and snacks for meeting,Meals & Entertainment
Diwali celebration office party,Meals & Entertainment
Team outing and lunch expense,Meals & Entertainment
Corporate gift hamper for client,Meals & Entertainment
Swiggy office lunch order,Meals & Entertainment
Zomato team meal expense,Meals & Entertainment
Staff birthday celebration cost,Meals & Entertainment
Client welcome dinner expense,Meals & Entertainment
Annual dinner and awards ceremony,Meals & Entertainment
Holi celebration refreshments for team,Meals & Entertainment
New year party for employees,Meals & Entertainment
Client farewell dinner at hotel,Meals & Entertainment
Product launch cocktail reception,Meals & Entertainment
Vendor appreciation dinner cost,Meals & Entertainment
Staff iftar party expense,Meals & Entertainment
Christmas party catering cost,Meals & Entertainment
Employee appreciation lunch event,Meals & Entertainment
Investor meeting refreshment expense,Meals & Entertainment
Team building activity catering,Meals & Entertainment
Conference breakfast and tea break cost,Meals & Entertainment
Movie tickets for team outing,Meals & Entertainment
Theme park team outing expense,Meals & Entertainment
Team cricket match snack expense,Meals & Entertainment
Snack box subscription for office,Meals & Entertainment
Team picnic expense,Meals & Entertainment
Sports day refreshment for staff,Meals & Entertainment
CA firm audit fees payment,Professional Services
Legal retainer fee to advocate,Professional Services
Lawyer consultation charges paid,Professional Services
Company secretary annual fee,Professional Services
ROC filing fee payment,Professional Services
Trademark registration fee,Professional Services
Patent attorney charges,Professional Services
GST consultant fee paid,Professional Services
Statutory audit fees payment,Professional Services
Tax filing professional charges,Professional Services
HR consultant engagement fee,Professional Services
Financial advisor charges paid,Professional Services
Data privacy consultant fee,Professional Services
Cybersecurity assessment fee,Professional Services
Notary and attestation charges,Professional Services
Valuation fee to certified valuer,Professional Services
SEBI compliance consultant fee,Professional Services
FEMA compliance advisory payment,Professional Services
Due diligence fee for acquisition,Professional Services
Legal opinion charges from firm,Professional Services
Actuarial valuation fee,Professional Services
Transfer pricing documentation fee,Professional Services
Environmental clearance consultant fee,Professional Services
ISO certification audit fee,Professional Services
Quality management system audit cost,Professional Services
RERA compliance fee for project,Professional Services
Labour law compliance consultant fee,Professional Services
Secretarial audit fee paid,Professional Services
Independent director fee paid,Professional Services
Advisory board meeting fee,Professional Services
Laptop purchased for new employee,Equipment & Hardware
Office printer purchase expense,Equipment & Hardware
Server hardware upgrade cost,Equipment & Hardware
CCTV camera installation expense,Equipment & Hardware
UPS battery and inverter purchase,Equipment & Hardware
Office furniture purchase expense,Equipment & Hardware
Air conditioner purchase for office,Equipment & Hardware
Networking equipment purchase,Equipment & Hardware
Projector for conference room,Equipment & Hardware
Mobile phone purchased for team,Equipment & Hardware
Scanner device purchase,Equipment & Hardware
Standing desk purchase for office,Equipment & Hardware
Fire extinguisher purchase,Equipment & Hardware
Industrial generator purchase,Equipment & Hardware
Wi-Fi router installation cost,Equipment & Hardware
Uninterruptible power supply purchase,Equipment & Hardware
Water purifier installation for office,Equipment & Hardware
Surveillance DVR purchase,Equipment & Hardware
Biometric attendance machine purchase,Equipment & Hardware
Barcode scanner purchase,Equipment & Hardware
Label printer purchase,Equipment & Hardware
Office chair and workstation purchase,Equipment & Hardware
Refrigerator for office pantry,Equipment & Hardware
Microwave oven for office kitchen,Equipment & Hardware
Coffee machine purchase for office,Equipment & Hardware
Tablet device purchase for field staff,Equipment & Hardware
Headphones purchased for call centre,Equipment & Hardware
Webcam and lighting kit purchase,Equipment & Hardware
Ethernet switch purchase for network,Equipment & Hardware
Hard disk external purchase for backup,Equipment & Hardware
Business health insurance premium,Insurance
Office property insurance annual premium,Insurance
Vehicle insurance renewal payment,Insurance
Employees group mediclaim premium,Insurance
Directors liability insurance premium,Insurance
Professional indemnity insurance,Insurance
Fire and theft insurance premium,Insurance
Cyber liability insurance payment,Insurance
Key person life insurance premium,Insurance
Business interruption insurance premium,Insurance
Product liability insurance premium,Insurance
Public liability insurance annual fee,Insurance
Marine cargo insurance premium,Insurance
Construction project insurance premium,Insurance
Term insurance for key employee,Insurance
D&O directors officers insurance,Insurance
Errors and omissions insurance premium,Insurance
Travel insurance for business trip,Insurance
Machinery breakdown insurance,Insurance
Contractor all risks insurance,Insurance
Fidelity insurance for accounts staff,Insurance
Export credit insurance premium,Insurance
Health insurance top-up for staff,Insurance
Personal accident insurance premium,Insurance
Critical illness insurance premium,Insurance
Bank transaction charges,Bank Charges
NEFT processing fee paid,Bank Charges
Wire transfer fee for international payment,Bank Charges
Bank account maintenance fee,Bank Charges
Cheque book issuance charge,Bank Charges
Foreign exchange conversion fee,Bank Charges
ATM usage charge,Bank Charges
Bank locker annual rental,Bank Charges
Payment gateway settlement fee,Bank Charges
Razorpay transaction processing fee,Bank Charges
RTGS charges for large transaction,Bank Charges
Bank demand draft fee,Bank Charges
Letter of credit opening charges,Bank Charges
Bank guarantee issuance fee,Bank Charges
Merchant account processing fee,Bank Charges
Paytm gateway deduction,Bank Charges
PhonePe merchant fee,Bank Charges
Cash handling charges,Bank Charges
Cheque bounce penalty,Bank Charges
Bank SMS alert service charge,Bank Charges
Net banking annual maintenance,Bank Charges
Overdraft processing fee,Bank Charges
Bank statement request fee,Bank Charges
Standing instruction setup charge,Bank Charges
Cash deposit machine charges,Bank Charges
GST payment to government,Taxes & Duties
Advance income tax installment paid,Taxes & Duties
TDS deposited with income tax department,Taxes & Duties
Professional tax monthly payment,Taxes & Duties
Customs duty on imported goods,Taxes & Duties
Import duty paid at port,Taxes & Duties
Property tax annual payment,Taxes & Duties
Municipal corporation tax payment,Taxes & Duties
Road tax vehicle renewal,Taxes & Duties
Stamp duty paid on agreement,Taxes & Duties
Excise duty payment to government,Taxes & Duties
GST input tax credit reversal,Taxes & Duties
TCS collected and deposited,Taxes & Duties
Late filing fee income tax return,Taxes & Duties
Capital gains tax payment,Taxes & Duties
Securities transaction tax paid,Taxes & Duties
Dividend distribution tax payment,Taxes & Duties
GST RCM payment for import of service,Taxes & Duties
Customs clearance duty,Taxes & Duties
IGST on import of goods,Taxes & Duties
Fringe benefits tax payment,Taxes & Duties
Wealth tax payment,Taxes & Duties
Self-assessment tax payment,Taxes & Duties
Entry tax on goods,Taxes & Duties
Infrastructure cess payment,Taxes & Duties
Miscellaneous office expense,Miscellaneous
Office stationery purchase,Miscellaneous
Courier and postage charges,Miscellaneous
Sundry expense reimbursement,Miscellaneous
Cleaning supplies purchase,Miscellaneous
Office pantry expense,Miscellaneous
Miscellaneous petty cash expense,Miscellaneous
Water can and drinking water cost,Miscellaneous
Newspaper and magazine subscription,Miscellaneous
Miscellaneous admin expense,Miscellaneous
Packaging material purchase,Miscellaneous
ID card printing for staff,Miscellaneous
Company stamp and seal charges,Miscellaneous
Emergency office repair expense,Miscellaneous
Miscellaneous purchase for office use,Miscellaneous
Birthday gift for staff member,Miscellaneous
Festive decoration for office,Miscellaneous
Printer ink cartridge purchase,Miscellaneous
A4 paper ream purchase,Miscellaneous
Pen and whiteboard markers,Miscellaneous
Sticky notes and folders purchase,Miscellaneous
Extension cord and power strip,Miscellaneous
Office first aid kit purchase,Miscellaneous
Dustbin and cleaning supplies,Miscellaneous
File cabinet and folders expense,Miscellaneous
Board marker and whiteboard cleaner,Miscellaneous
Miscellaneous IT consumables,Miscellaneous
USB drives and cables purchase,Miscellaneous
Cable ties and accessories,Miscellaneous
Miscellaneous repair and upkeep,Miscellaneous
Microsoft Office 365 annual renewal,Software Subscriptions
GitHub Copilot subscription,Software Subscriptions
VS Code extension marketplace purchase,Software Subscriptions
Jetbrains all products pack,Software Subscriptions
Cloudinary media hosting plan,Software Subscriptions
Sentry error monitoring subscription,Software Subscriptions
New Relic observability subscription,Software Subscriptions
PagerDuty incident alert subscription,Software Subscriptions
Monday.com project plan fee,Software Subscriptions
ClickUp workspace subscription,Software Subscriptions
Electricity bill for January,Utilities
Internet service provider monthly bill,Utilities
Jio fiber broadband bill,Utilities
BSNL broadband subscription,Utilities
Office water supply charges,Utilities
LPG gas cylinder for pantry,Utilities
Diesel for generator backup,Utilities
MSEB electricity charges,Utilities
BESCOM power bill payment,Utilities
TNEB electricity bill,Utilities
Auto rickshaw to site visit,Travel & Transportation
Ola outstation cab booking,Travel & Transportation
Meru cab corporate account,Travel & Transportation
Business class flight upgrade,Travel & Transportation
Railway station to office taxi,Travel & Transportation
Petrol pump receipt for car,Travel & Transportation
Vehicle servicing and oil change,Travel & Transportation
Tyre puncture and repair,Travel & Transportation
Expressway toll payment,Travel & Transportation
Staff bus service monthly contract,Travel & Transportation
Razorpay annual fee deduction,Bank Charges
Paytm business account deduction,Bank Charges
PayU payment gateway fee,Bank Charges
HDFC bank processing charges,Bank Charges
ICICI bank service fee,Bank Charges
Swift international wire fee,Bank Charges
Foreign remittance charges,Bank Charges
Bank overdraft interest charge,Bank Charges
Cash counting machine rental from bank,Bank Charges
Bank audit and inspection fee,Bank Charges
Netflix annual plan auto-renewal,OTT Subscriptions
Hotstar super pack renewal,OTT Subscriptions
Prime video subscription India,OTT Subscriptions
Spotify India premium monthly,OTT Subscriptions
ZEE5 all access subscription,OTT Subscriptions
Disney Hotstar mobile plan,OTT Subscriptions
Sony LIV premium renewal,OTT Subscriptions
Eros Now subscription,OTT Subscriptions
Lionsgate Play monthly,OTT Subscriptions
Apple TV subscription India,OTT Subscriptions
Office premises rent July,Office Rent
